arestee|arestee|arester|ARRESTARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
argent|argent|argent|ARGENTUM||NOUN||Masc,Sing,Acc|g,p,v
argon|argon|Argon|||PROPN||Fem,Sing|g,p,v
argus|argus|Argus|||PROPN||Masc,Sing,Nom|g,p,v
argus|argus1|Argus|||PROPN||Masc,Sing,Acc|g,p,v
arieres|arieres|ariere|AD RETRO||ADV||Loc|g,p,v
arisier|arisier|arecier|*ARRECTIARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
ariva|ariva|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Sing|g,p,v
arivames|arivames|ariver|*ARRIPARE||VERB||Fin,Sub,Imp,Intr,1,Plur|g,p,v
arivassent|arivassent|ariver|*ARRIPARE||VERB||Fin,Sub,Imp,Intr,3,Plur|g,p,v
ariverent|ariverent|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Plur|g,p,v
ariverons|ariverons|ariver|*ARRIPARE||VERB||Fin,Ind,Fut,Intr,1,Plur|g,p,v
arivés|arivés3|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
arma|arma|armer|ARMARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
armer|armer|armer|ARMARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
armes|armes|arme|ARMA||NOUN||Fem,Plur|g,p,v
armeüres|armeüres|armëure|ARMATURA||NOUN||Fem,Sing|g,p,v
armés|armés|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Masc|g,p,v
ars|ars|art|ARS||NOUN||Fem,Plur|g,p,v
ars|ars1|ardre|ARDERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
artefiéz|artefiéz|artifier (GD)|ARS||VERB||Ind,Part,Past,Plur,Masc|g,p,v
as|as|a3|AD||ADP||PrepArt|g,p,v
as|as2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs|g,p,v
asaiés|asaiés|essaiier|EXAGIUM||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
asaudra|asaudra|assalir|*ASSALIRE||VERB||Fin,Ind,Fut,Act,Trans,3,Sing|g,p,v
asauta|asauta|assauter|*ASSALTUS||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
asavoir|asavoir|savoir|SAPERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
ascondiroit|ascondiroit|esondire|*EXCONDICERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Sing|g,p,v
asenblees|asenblees|assembler|ASSIMULARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
asenbler|asenbler|assembler|ASSIMULARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
asenés|asenés|assener|SINNO-||VERB||Fin,Ind,Pres,Intr,2,Plur|g,p,v
aseüree|aseüree|assëurer|*ASSECURARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
asimee|asimee|acesmer|*ACCISMARE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
asis|asis|asseoir (TLF)|SEDERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
asis|asis1|asseoir (TLF)|SEDERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
asis|asis2|asseoir (TLF)|SEDERE||VERB||Ind,Part,Past,Sing,Masc|g,p,v
asise|asise|asseoir (TLF)|SEDERE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
asisma|asisma|acesmer|*ACCISMARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
asist|asist|asseoir (TLF)|SEDERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
asistrent|asistrent|asseoir (TLF)|SEDERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur|g,p,v
asistrent|asistrent1|asseoir (TLF)|SEDERE||VERB||Fin,Ind,Past,Rfl,3,Plur|g,p,v
asé|asé|assez|AD SATIS||ADV|||g,p,v
asés|asés|assez|AD SATIS||ADV|||g,p,v
atacha|atacha|atachier2|*STAKKA||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
ataint|ataint|ataindre|ATTINGERE||VERB|auxPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
atant|atant|tant|TANTUS||ADV||Tim|g,p,v
atendance|atendance|atendance|ATTENDERE||NOUN||Fem,Sing|g,p,v
atorner|atorner|atorner|TORNARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
atornerent|atornerent|atorner|TORNARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur|g,p,v
atornés|atornés|atorner|TORNARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
atornés|atornés1|atorner|TORNARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
au|au|a3|AD||ADP||PrepArt|g,p,v
auberc|auberc|herberc|*HARIBERGôN||NOUN||Masc,Sing,Acc|g,p,v
auqes|auqes|auques|ALIQUID||ADV|||g,p,v
auques|auques|auques|ALIQUID||ADV|||g,p,v
aus|aus|haut|ALTUS||ADJ||Masc,Plur,Nom|g,p,v
aus|aus1|haut|ALTUS||ADJ||Masc,Plur,Acc|g,p,v
ausi|ausi|aussi|SIC||ADV|||g,p,v
ausi_qe|ausi_qe|aussi|SIC||ADV|SConj |MWEs|g,p,v
aut|aut1|haut|ALTUS||ADJ||Masc,Sing,Acc|g,p,v
aut|aut2|haut|ALTUS||ADJ||Masc,Plur,Nom|g,p,v
aute|aute|haut|ALTUS||ADJ||Fem,Sing|g,p,v
autement|autement|hautement|ALTUS||ADV|||g,p,v
autes|autes|haut|ALTUS||ADJ||Fem,Plur|g,p,v
autesse|autesse|hautece|ALTITIA||NOUN||Fem,Sing|g,p,v
autre|autre10|autre|ALTER||PRON||Ind,Neut,Sing,Acc|g,p,v
autre|autre4|autre|ALTER||DET||Ind,Fem,Sing|g,p,v
autre|autre5|autre|ALTER||DET||Ind,Fem,Plur|g,p,v
autrement|autrement|autrement|ALTER||ADV|||g,p,v
autres|autres|autre|ALTER||DET||Ind,Masc,Plur,Nom|g,p,v
autres|autres1|autre|ALTER||DET||Ind,Masc,Plur,Acc|g,p,v
autres|autres5|autre|ALTER||PRON||Ind,Masc,Plur,Acc|g,p,v
aval|aval|aval|VALLIS||ADV||Loc|g,p,v
avant|avant|avant|ABANTE||ADV|||g,p,v
avec|avec|avuec|AB HOC||ADP|||g,p,v
avendra|avendra|avenir|ADVENIRE||VERB||Fin,Ind,Fut,Intr,3,Sing|g,p,v
avenir|avenir|avenir|ADVENIRE||VERB||Ind,Inf,Pres,Intr|g,p,v
aventure|aventure|aventure|*ADVENTURA||NOUN||Fem,Sing|g,p,v
avenu|avenu|avenir|ADVENIRE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
avenues|avenues|avenir|ADVENIRE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs|g,p,v
avient|avient|avenir|ADVENIRE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
avions|avions|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,1,Plur|g,p,v
avironee|avironee|avironer|VIBRARE||VERB||Ind,Part,Past,Plur,Fem|g,p,v
avis|avis|avis|VISUS1||NOUN||Masc,Sing,Nom|g,p,v
avoient|avoient|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Plur|g,p,v
avoient|avoient1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Plur,MWEs|g,p,v
avoir|avoir|avoir|HABERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
avoit|avoit1|avoir|HABERE||VERB||Fin,Ind,Imp,Intr,3,Sing|g,p,v
avoit|avoit2|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs|g,p,v
avra|avra|avoir|HABERE||VERB||Fin,Ind,Fut,Act,Trans,3,Sing|g,p,v
avra|avra1|avoir|HABERE||VERB|auxTens|Fin,Ind,Fut,3,Sing,MWEs|g,p,v
avrais|avrais|avoir|HABERE||VERB|auxTens|Fin,Ind,Fut,2,Sing,MWEs|g,p,v
avras|avras|avoir|HABERE||VERB||Fin,Ind,Fut,Act,Trans,2,Sing|g,p,v
avras|avras1|avoir|HABERE||VERB|auxTens|Fin,Ind,Fut,2,Sing,MWEs|g,p,v
avront|avront1|avoir|HABERE||VERB|auxTens|Fin,Ind,Fut,3,Plur,MWEs|g,p,v
avrés|avrés|avoir|HABERE||VERB|auxTens|Fin,Ind,Fut,2,Plur,MWEs|g,p,v
avés|avés|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Plur,MWEs|g,p,v
aïéx|aïéx|avoir|HABERE||VERB|auxTens|Fin,Sub,Pres,2,Plur,MWEs|g,p,v
