coment|coment
entailliés|entailliés
les|les1
grant|grant5
batailles|batailles
qi|qi
avoient|avoient1
esté|esté6
devant|devant
.|.
coment|coment
li|li
roi|roi
fa|fa
sa|sa
riche|riche
sale|sale
dedenz|dedenz
ilion|ilion
.|.
quant|quant
ilion|ilion1
fu|fu1
ensi|ensi
fait|fait2
et|et
devisé|devisé
com|com
je|je
vos|vos
ai|ai
conté|conté
et|et
dit|dit1
,|,
moult|moult
senbloit|senbloit
de|de
grant|grant1
hergueil|hergueil
à|à
veoir|veoir
car|car
il|il2
senbloit|senbloit
q’|q’1
il|il
mesast|mesast
toute|toute
rienz|rienz1
vivant|vivant
.|.
si|si
vos|vos
di|di
qe|qe3
la|la
place|place
donc|donc
il|il
seoit|seoit
estoit|estoit1
bien|bien4
si|si
fort|fort3
q’|q’1
elle|elle
ne|ne
doutast|doutast
pas|pas
tot|tot3
l’|l’
enpire|enpire
se|se2
traïe|traïe
ne|ne
fust|fust2
.|.
une|une
sale|sale
fist|fist1
li|li
roi|roi
priant|priant
faire|faire
dedenz|dedenz
ilion|ilion
qe|qe
moult|moult
fu|fu
grant|grant4
et|et
belle|belle
de|de
marbre|marbre2
bis|bis1
seulement|seulement
et|et
de|de
benus|benus
toute|toute
entaillee|entaillee
,|,
et|et
hornee|hornee
de|de
moult|moult
riche|riche1
pieres|pieres
en|en
plusors|plusors
leus|leus
de|de
la|la
maison|maison
.|.
li|li
pavement|pavement1
et|et
la|la
coverture|coverture
fu|fu
tel|tel6
com|com
à|à
tel|tel6
sale|sale
convenoit|convenoit
.|.
quant|quant
la|la
sale|sale
fu|fu1
ensi|ensi
asise|asise1
,|,
li|li
roi|roi
reson|reson
aut|aut1
dois|dois
,|,
là_où|là_où
il|il
devoit|devoit
mangier|mangier1
;|;
si|si
i|i
fist|fist1
faire|faire
maintes|maintes3
autres|autres3
tables|tables
por|por
les|les
barons|barons3
et|et
por|por
le|le1
chevaliers|chevaliers3
et|et
por|por
le|le2
hautre|hautre
mainee|mainee
.|.
en|en
l’|l’
autre|autre1
chief|chief1
de|de
la|la
table|table
sale|sale
fist|fist1
li|li
roi|roi
faire|faire
un|un
autel|autel
,|,
li|li
plus|plus
riche|riche3
et|et
li|li
plus|plus
bel|bel
qe|qe
fere|fere
se|se
puet|puet
ne|ne
deviser|deviser
;|;
il|il
fu|fu
de|de
fin|fin2
or|or1
et|et
d’|d’
autres|autres3
richesses|richesses
asés|asés
,|,
selonc|selonc
ce|ce1
qe|qe
daire|daire
nos|nos1
temoingne|temoingne
.|.
puis_aprés|puis_aprés
fist|fist1
sor|sor
l’|l’
autel|autel
establir|establir
une|une
riche|riche
imaje|imaje
d’|d’
or|or1
et|et
de|de
piere|piere1
preciousez|preciousez
en|en
la|la
senblance|senblance
de|de
jupiter|jupiter
son|son1
diex|diex
,|,
en|en
cui|cui
il|il
avoit|avoit
sa|sa
foi|foi
et|et
sa|sa
creance|creance
,|,
por|por
cui|cui
il|il1
cuidoient|cuidoient
estre|estre
defendus|defendus
et|et
ensausiéz|ensausiéz1
.|.
mes|mes
je|je
vos|vos
di|di
q’|q’1
il|il2
ne|ne
fu|fu3
pas|pas
ensi|ensi
.|.
encore|encore
i|i
fist|fist1
li|li
roi|roi
fere|fere
chanbres|chanbres
asés|asés
riches|riches
et|et
belles|belles
,|,
et|et
clostres|clostres
et|et
versiers|versiers1
et|et
praëls|praëls
et|et
fointanes|fointanes
et|et
puie|puie
asés|asés
très|très
bons|bons
.|.
le|le1
nons|nons1
de|de
portes|portes
de|de
troie|troie
.|.
quant|quant
la|la
cité|cité
fu|fu1
ensi|ensi
fete|fete3
dedenz|dedenz
et|et
close|close1
de|de
fors|fors3
murs|murs
entor|entor1
et|et
de|de
grant|grant4
fossés|fossés1
avironee|avironee2
,|,
li|li
roi|roi
fist|fist1
faire|faire
d_entor|d_entor1
le|le1
murs|murs
vj|vj
portes|portes
sans|sans
plus|plus
.|.
si|si
avoit|avoit1
sor|sor
ciaschune|ciaschune
une|une
tor|tor
fort|fort3
et|et
masise|masise
.|.
il|il2
avoit|avoit1
à|à
ciascune|ciascune
tor|tor
un|un
connestable|connestable
bon|bon1
et|et
riche|riche2
et|et
vaillant|vaillant
por|por
la|la
porte|porte
garder|garder
ho|ho
mil|mil
chevaliers|chevaliers3
.|.
les|les1
portes|portes
estoient|estoient3
ensi|ensi
nomees|nomees
:|:
la|la
prime|prime
avoit|avoit
à|à
nom|nom1
antenoride|antenoride
,|,
la|la
segonde|segonde
dardaine|dardaine
,|,
la|la
tierse|tierse
avoit|avoit
non|non2
helia|helia
,|,
la|la
qarte|qarte
estoit|estoit2
apellee|apellee
chete|chete
,|,
la|la
qinte|qinte
tinbee|tinbee
,|,
la|la
siste|siste
troiene|troiene
.|.
ensi|ensi
fu|fu1
troie|troie
establie|establie1
mervoilleusement|mervoilleusement
com|com
dit|dit1
vos|vos
ai|ai
;|;
encore|encore
en|en2
fu|fu3
plus_qe|plus_qe
je|je
ne|ne
vos|vos
di|di
car|car
,|,
se|se2
je|je
vos|vos
voloie|voloie
toute|toute
l’|l’1
ovre|ovre
conter|conter
ni|ni
dire|dire
,|,
trop|trop
seroit|seroit
longue|longue
matire|matire
,|,
à|à
vos|vos
d’|d’
escouter|escouter
et|et
à|à
moi|moi
d’|d’
oudir|oudir
.|.
puis|puis
qe|qe
l’|l’
afer|afer
fu|fu1
tos|tos3
ensi|ensi
achevé|achevé
,|,
si|si
vos|vos
di|di
que|que
grant|grant4
joie|joie
en|en2
firent|firent
tos|tos4
cel|cel
de|de
la|la
cité|cité
,|,
moult|moult
en|en2
rendirent|rendirent
graces|graces
et|et
loënges|loënges
à|à
lor|lor6
diex|diex
et|et
moult|moult
i|i
firent|firent
grant|grant4
sacrefices|sacrefices
.|.
puis|puis
establirent|establirent
dedenz|dedenz
la|la
ville|ville
jeus|jeus
mervoilleus|mervoilleus
por|por
els|els
deporter|deporter
et|et
solacier|solacier
,|,
à|à
tables|tables
et|et
as|as
echas|echas
,|,
et|et
maintes|maintes
autres|autres2
delis|delis
i|i
troverent|troverent
por|por
home|home
deliter|deliter
.|.
si|si
furent|furent
les|les
chevaliers|chevaliers2
et|et
les|les
barons|barons2
et|et
les|les
borgiois|borgiois
moult|moult
bien|bien4
apris|apris
de|de
bien|bien4
et|et
de|de
cortesie|cortesie
.|.
