FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
laiseroie|laissier|LAXARE||verb||||||||||cnd||sing|||1||intr|pres|fin||g||p|v
laiserons|laissier|LAXARE||verb||||||||||||plur|||1||trans|fut|ind|act|g||p|v
laise|laissier|LAXARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
laisier|laissier|LAXARE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
laisier|laissier|LAXARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
laisons|laissier|LAXARE||verb||||||||||||plur|||1||trans|pres|ind|act|g||p|v
laison|laissier|LAXARE||verb|auxMod|||||||||imp||plur|||1|||pres|fin||g||p|v
laissent|laissier|LAXARE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
laisserais|laissier|LAXARE||verb||||||||||||sing|||2||trans|fut|ind|act|g||p|v
laisserent|laissier|LAXARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
laisse|laissier|LAXARE||verb||||||||||||sing|||3||intr|pres|ind||g||p|v
lait|lait2|*LAIþ||adjective||||||acc|||masc|||sing|||||||||g||p|v
lait|lait2|*LAIþ||adjective|Noun|||||acc|||masc|||sing|||||||||g||p|v
lait|lait2|*LAIþ||adjective||||||nom|||masc|||sing|||||||||g||p|v
lances|lance|LANCEA||noun|||||||||fem|||plur|||||||||g||p|v
lance|lance|LANCEA||noun|||||||||fem|||sing|||||||||g||p|v
lancies|lance|LANCEA||noun|||||||||fem|||plur|||||||||g||p|v
laomedon|Laomedon|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
laomedon|Laomedon|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
laquels|quel1|QUALIS||pronoun|||||||||fem|||sing||||int|||||g||p|v
laquel|quel1|QUALIS||pronoun|||||||||fem|||sing||||int|||||g||p|v
largement|lergement|LARGUS||adverb||||man|||||||||||||||||g||p|v
larges|large|LARGUS||adjective|||||||||fem|||plur|||||||||g||p|v
large|large|LARGUS||adjective|Noun|||||acc|||masc|||sing|||||||||g||p|v
large|large|LARGUS||adjective||||||nom|||masc|||sing|||||||||g||p|v
laseroit|laissier|LAXARE||verb||||||||||cnd||sing|||3||intr|pres|fin||g||p|v
las|las|LASSUS||adjective||||||nom|||masc|||plur|||||||||g||p|v
las|las|LASSUS||interjection|||||||||||||||||||||g||p|v
latin|latin|LATINUS||adjective|Noun|||||acc|||masc|||sing|||||||||g||p|v
lava|laver|LAVARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
lavés|laver|LAVARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
la|le|ILLE||pronoun||||||acc|||fem|||sing|||3|prs|||||g||p|v
la|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
la|le|ILLE||determiner||||||||artdef|fem|||sing|||||||||g||p|v
laësse|lëece|LAETITIA||noun|||||||||fem|||sing|||||||||g||p|v
le_petit_pas|pas|PASSUS1||noun|Adv|||||nom|||masc|||sing|||||||||g||p|v
le_qels|quel1|QUALIS||pronoun||||||nom|||masc|||sing||||int|||||g||p|v
le_qels|quel1|QUALIS||pronoun||||||acc|||masc|||sing||||int|||||g||p|v
le_qels|quel1|QUALIS||pronoun|||||||||fem|||plur||||int|||||g||p|v
le_qels|quel1|QUALIS||determiner||||||nom||int|masc|||sing|||||||||g||p|v
le_qels|quel1|QUALIS||pronoun||||||nom|||masc|||plur||||int|||||g||p|v
le_qel|quel1|QUALIS||pronoun||||||nom|||masc|||sing||||int|||||g||p|v
legierement|legierement|*LEVIARIUS||adverb||||man|||||||||||||||||g||p|v
legieres|legier2|*LEVIARIUS||adjective|||||||||fem|||plur|||||||||g||p|v
lenciaus|linçuel|LINTEOLUM||noun||||||nom|||masc|||plur|||||||||g||p|v
lendemains|lendemain|DE MANE||adverb||||tim|||||||||||||||||g||p|v
lendemain|lendemain|DE MANE||adverb||||tim|||||||||||||||||g||p|v
lengue|langue1|LINGUA||noun|||||||||fem|||sing|||||||||g||p|v
lermes|larme|LACRIMA||noun|||||||||fem|||plur|||||||||g||p|v
les_qels|quel1|QUALIS||pronoun||||||nom|||masc|||plur||||int|||||g||p|v
les|le|ILLE||determiner||||||||artdef|fem|||plur|||||||||g||p|v
les|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
les|le|ILLE||pronoun||||||acc|||masc|||plur|||3|prs|||||g||p|v
les|le|ILLE||pronoun||||||acc|||fem|||plur|||3|prs|||||g||p|v
les|le|ILLE||pronoun||||||acc|||masc|||sing|||3|prs|||||g||p|v
les|le|ILLE||pronoun||||||acc|||neut|||sing|||3|prs|||||g||p|v
les|le|ILLE||determiner||||||||artdef|masc|||plur|||||||||g||p|v
letres|letre|LITTERA||noun|||||||||fem|||plur|||||||||g||p|v
letre|letre|LITTERA||noun|||||||||fem|||plur|||||||||g||p|v
lettres|letre|LITTERA||noun|||||||||fem|||plur|||||||||g||p|v
leugier|legier2|*LEVIARIUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
leus|lieu|LOCUS||noun||||||acc|||masc|||plur|||||||||g||p|v
leu|lieu|LOCUS||noun||||||acc|||masc|||sing|||||||||g||p|v
leva|lever|LEVARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
levees|lever|LEVARE||verb|compTens||||||||fem|part|mwes|plur||||||past|ind||g||p|v
levees|lever|LEVARE||verb|compPass||||||||fem|part|mwes|plur||||||past|ind||g||p|v
levee|lever|LEVARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
leverent|lever|LEVARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
lever|lever|LEVARE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
levriers|levrier|LEPUS||noun||||||acc|||masc|||plur|||||||||g||p|v
lex|le|ILLE||determiner||||||||artdef|fem|||plur|||||||||g||p|v
lez|le|ILLE||determiner||||||||artdef|masc|||plur|||||||||g||p|v
le|le|ILLE||determiner||||||||artdef|masc|||plur|||||||||g||p|v
le|le|ILLE||determiner||||||||artdef|fem|||sing|||||||||g||p|v
le|le|ILLE||determiner||||||||artdef|fem|||plur|||||||||g||p|v
le|le|ILLE||pronoun||||||acc|||masc|||sing|||3|prs|||||g||p|v
le|le|ILLE||pronoun||||||acc|||masc|||plur|||3|prs|||||g||p|v
le|le|ILLE||pronoun||||||acc|||neut|||sing|||3|prs|||||g||p|v
le|li|ILLE||pronoun||||||acc|||masc|||sing|||3|prs|||||g||p|v
le|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
leüz|lire1|LEGERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
li_qel|quel1|QUALIS||pronoun||||||acc|||masc|||sing||||rel|||||g||p|v
lierai|lire1|LEGERE||verb||||||||||||sing|||2||trans|fut|ind|act|g||p|v
lierent|liier3|LIGARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
lieues|lieue|LEUCA||noun|||||||||fem|||plur|||||||||g||p|v
lieva|lever|LEVARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
lieverent|lever|LEVARE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
lieve|lieue|LEUCA||noun|||||||||fem|||sing|||||||||g||p|v
liez|lié1|LAETUS||adjective||||||nom|||masc|||sing|||||||||g||p|v
lignajes|lignage|LINEA||noun||||||acc|||masc|||sing|||||||||g||p|v
lignaje|lignage|LINEA||noun||||||acc|||masc|||sing|||||||||g||p|v
lingnee|ligniee|LINEA||noun|||||||||fem|||sing|||||||||g||p|v
lion|lïon|LEO||noun||||||nom|||masc|||sing|||||||||g||p|v
lisans|lire1|LEGERE||verb||||||||||part|||||||trans|pres|ind|act|g||p|v
lisant|lire1|LEGERE||verb||||||||||part|||||||trans|pres|ind|act|g||p|v
lison|lire1|LEGERE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
list|lire1|LEGERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
lis|lit|LECTUS||noun||||||acc|||masc|||plur|||||||||g||p|v
lit|lit|LECTUS||noun||||||acc|||masc|||sing|||||||||g||p|v
lit|lit|LECTUS||noun||||||nom|||masc|||sing|||||||||g||p|v
liues|lieue|LEUCA||noun|||||||||fem|||plur|||||||||g||p|v
livre|livre2|LIBER2||noun||||||acc|||masc|||sing|||||||||g||p|v
livre|livre2|LIBER2||noun||||||nom|||masc|||sing|||||||||g||p|v
li|le|ILLE||determiner||||||||artdef|masc|||plur|||||||||g||p|v
li|li|ILLE||pronoun||||||acc|||masc|||sing|||3|prs|||||g||p|v
li|li|ILLE||pronoun||||||acc|||fem|||sing|||3|prs|||||g||p|v
li|li|ILLE||pronoun||||||acc|||masc|||plur|||3|prs|||||g||p|v
li|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
liés|lié1|LAETUS||adjective||||||nom|||masc|||sing|||||||||g||p|v
lié|lié1|LAETUS||adjective|||||||||fem|||sing|||||||||g||p|v
lié|lié1|LAETUS||adjective||||||nom|||masc|||sing|||||||||g||p|v
lle|le|ILLE||pronoun||||||acc|||fem|||plur|||3|prs|||||g||p|v
lli|il|ILLE||pronoun||||||acc||||||sing|||3|prs|||||g||p|v
loai|löer1|LAUDARE||verb||||||||||||sing|||1||trans|past|ind|act|g||p|v
loa|löer1|LAUDARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
loerent|löer1|LAUDARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
loeroie|löer1|LAUDARE||verb||||||||||cnd||sing|||1||trans|pres|fin|act|g||p|v
loer|löer1|LAUDARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
loialment|lëal|LEGALIS||adverb||||man|||||||||||||||||g||p|v
loial|lëal|LEGALIS||adjective||||||acc|||masc|||sing|||||||||g||p|v
loial|lëal|LEGALIS||adjective|||||||||fem|||sing|||||||||g||p|v
loiaument|lëalment|LEGALIS||adverb||||man|||||||||||||||||g||p|v
loiauté|lëauté|LEGALIS||noun|||||||||fem|||sing|||||||||g||p|v
loier|loiier|LOCARIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
loing_de|loing|LONGE||adverb|Adp|||loc|||||||mwes||||||||||g||p|v
loins|loing|LONGE||adverb||||loc|||||||||||||||||g||p|v
loisir|loisir2|LICERE||noun||||||acc|||masc|||sing|||||||||g||p|v
loi|loi3|LEX||noun|||||||||fem|||sing|||||||||g||p|v
lonc|lonc|LONGUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
longuement|longement|LONGUS||adverb|||||||||||||||||||||g||p|v
longue|lonc|LONGUS||adjective|||||||||fem|||sing|||||||||g||p|v
lors|lors|HORA||adverb|||||||||||||||||||||g||p|v
lors|lor3|ILLE||determiner||||||acc||poss|masc|||plur|||||||||g||p|v
lor|lor3|ILLE||determiner||||||acc||poss|masc|||sing|||||||||g||p|v
lor|lor3|ILLE||determiner||||||||poss|fem|||sing|||||||||g||p|v
lor|lors|HORA||adverb|||||||||||||||||||||g||p|v
lor|lor2|ILLE||pronoun||||||acc||||||plur|||3|prs|||||g||p|v
lor|lor3|ILLE||determiner||||||||poss|fem|||plur|||||||||g||p|v
lor|lor3|ILLE||determiner||||||acc||poss|masc|||plur|||||||||g||p|v
lor|lor3|ILLE||determiner||||||nom||poss|masc|||plur|||||||||g||p|v
lor|lor3|ILLE||determiner||||||nom||poss|masc|||sing|||||||||g||p|v
los|los|LAUS||noun||||||acc|||masc|||sing|||||||||g||p|v
loulté|lëauté|LEGALIS||noun|||||||||fem|||sing|||||||||g||p|v
lous|lou|LUPUS||noun||||||nom|||masc|||sing|||||||||g||p|v
lou|löer1|LAUDARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
loés|löer1|LAUDARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
loënges|löenge|LAUDARE||noun|||||||||fem|||plur|||||||||g||p|v
loërent|löer1|LAUDARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
loëroie|löer1|LAUDARE||verb||||||||||cnd||sing|||1||intr|pres|fin||g||p|v
luisant|luisir|LUCERE||verb|Adj|||||||||part||||||||pres|ind||g||p|v
lui|lui|ILLE||pronoun||||||acc||||||sing|||3|prs|||||g||p|v
luminaire|lulinaire|LUMINARE2||noun|||||||||fem|||sing|||||||||g||p|v
lune|lune|LUNA||noun|||||||||fem|||sing|||||||||g||p|v
lu|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
là_où|là|ILLAC||adverb|Adv|||loc|||||||mwes||||||||||g||p|v
là|là|ILLAC||adverb||||loc|||||||||||||||||g||p|v
lïa|liier3|LIGARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
lïés|liier3|LIGARE||verb|||||||||masc|part||plur||||||past|ind||g||p|v
lïés|liier3|LIGARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
l’|le|ILLE||determiner||||||||artdef|fem|||sing|||||||||g||p|v
l’|le|ILLE||pronoun||||||acc|||fem|||sing|||3|prs|||||g||p|v
l’|le|ILLE||pronoun||||||acc|||masc|||sing|||3|prs|||||g||p|v
l’|le|ILLE||pronoun||||||acc|||neut|||sing|||3|prs|||||g||p|v
l’|le|ILLE||pronoun||||||acc|||fem|||plur|||3|prs|||||g||p|v
l’|le|ILLE||determiner||||||||artdef|masc|||sing|||||||||g||p|v
maestresse|maistresse|MAGISTER||noun|||||||||fem|||sing|||||||||g||p|v
maestrie|maistrie|MAGISTER||noun|||||||||fem|||sing|||||||||g||p|v
mailles|maille|MACULA||noun|||||||||fem|||plur|||||||||g||p|v
mailloit|maillier1|MALLEUS||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
maillés|maillier1|MALLEUS||verb|||||||||masc|part||sing||||||past|ind||g||p|v
mainees|maisniee|MANSIO||noun|||||||||fem|||sing|||||||||g||p|v
mainee|maisniee|MANSIO||noun|||||||||fem|||sing|||||||||g||p|v
mainere|maniere|MANUARIUS||noun|||||||||fem|||sing|||||||||g||p|v
mainiere|maniere|MANUARIUS||noun|||||||||fem|||sing|||||||||g||p|v
mains|maint|*MANIGIþô-||determiner||||||acc||ind|masc|||plur|||||||||g||p|v
mains|main2|MANUS||noun|||||||||fem|||plur|||||||||g||p|v
maintenant|maintenant|MANU TENERE||adverb||||tim|||||||||||||||||g||p|v
maintenois|maintenir|MANU TENERE||verb||||||||||sub||plur|||2||trans|pres|fin|act|g||p|v
maintes|maint|*MANIGIþô-||determiner||||||acc||ind|masc|||plur|||||||||g||p|v
maintes|maint|*MANIGIþô-||determiner||||||||ind|fem|||plur|||||||||g||p|v
maintes|maint|*MANIGIþô-||determiner||||||nom||ind|masc|||plur|||||||||g||p|v
maint|maint|*MANIGIþô-||determiner||||||acc||ind|masc|||plur|||||||||g||p|v
maint|maint|*MANIGIþô-||determiner||||||nom||ind|masc|||plur|||||||||g||p|v
main|main2|MANUS||noun|||||||||fem|||sing|||||||||g||p|v
maior|major|MAIOR||adjective|||||||cmp||fem|||sing|||||||||g||p|v
maisnee|maisniee|MANSIO||noun|||||||||fem|||sing|||||||||g||p|v
maisnié|maisniee|MANSIO||noun|||||||||fem|||sing|||||||||g||p|v
maisons|maison|MANSIO||noun|||||||||fem|||plur|||||||||g||p|v
maison|maison|MANSIO||noun|||||||||fem|||plur|||||||||g||p|v
maison|maison|MANSIO||noun|||||||||fem|||sing|||||||||g||p|v
maistres|maistre|MAGISTER||noun||||||nom|||masc|||plur|||||||||g||p|v
maistre|maistre2|MAGISTER||adjective||||||nom|||masc|||sing|||||||||g||p|v
maistre|maistre2|MAGISTER||adjective||||||acc|||masc|||sing|||||||||g||p|v
maitinee|matinee|MATUTINUS||noun|||||||||fem|||sing|||||||||g||p|v
mai|mai|MAIUS||noun||||||acc|||masc|||sing|||||||||g||p|v
malement|malement|MALUS||adverb||||man|||||||||||||||||g||p|v
males|mal|MALUS||noun||||||nom|||masc|||sing|||||||||g||p|v
male|mal1|MALUS||adjective|||||||||fem|||sing|||||||||g||p|v
mal|mal1|MALUS||noun||||||nom|||masc|||sing|||||||||g||p|v
mandastes|mander|MANDARE||verb||||||||||||plur|||2||trans|past|ind|act|g||p|v
manda|mander|MANDARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
mandement|mandement|MANDARE||noun||||||acc|||masc|||sing|||||||||g||p|v
mander|mander|MANDARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
mande|mander|MANDARE||verb||||||||||||sing|||3||intr|pres|ind||g||p|v
mandois|mander|MANDARE||verb||||||||||sub||plur|||2||trans|pres|fin|act|g||p|v
mandons|mander|MANDARE||verb||||||||||imp||plur|||1||trans|pres|fin|act|g||p|v
mandrai|mander|MANDARE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
mandra|mander|MANDARE||verb||||||||||||sing|||3||trans|fut|ind|act|g||p|v
mandés|mander|MANDARE||verb||||||||||imp||plur|||2||trans|pres|fin|act|g||p|v
mandé|mander|MANDARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
mangerent|mangier|MANDUCARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
mangier|mangier|MANDUCARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
mangier|mangier|MANDUCARE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
maniere|maniere|MANUARIUS||noun|||||||||fem|||sing|||||||||g||p|v
manjuerent|mangier|MANDUCARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
mantel|mantel|MANTUS||noun||||||acc|||masc|||sing|||||||||g||p|v
mantel|mantel|MANTUS||noun||||||nom|||masc|||sing|||||||||g||p|v
marbre|marbre|MARMOR||noun||||||acc|||masc|||plur|||||||||g||p|v
marbre|marbre|MARMOR||noun||||||acc|||masc|||sing|||||||||g||p|v
marbre|marbre|MARMOR||noun||||||nom|||masc|||plur|||||||||g||p|v
marier|marïer|MARITARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
marine|marine|MARINUS||noun|||||||||fem|||sing|||||||||g||p|v
mariniers|marinier|MARINUS||noun||||||nom|||masc|||plur|||||||||g||p|v
maris|mari|MARITUS||noun||||||acc|||masc|||plur|||||||||g||p|v
mars|Mars|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
martir|martir|MARTYR||noun||||||acc|||masc|||sing|||||||||g||p|v
masieres|maisiere|MACERIA||noun|||||||||fem|||plur|||||||||g||p|v
masise|massiz|MASSA||adjective|||||||||fem|||sing|||||||||g||p|v
masles|masle|MASCULUS||adjective||||||nom|||masc|||plur|||||||||g||p|v
masons|maison|MANSIO||noun|||||||||fem|||plur|||||||||g||p|v
matire|matiere|MATERIA||noun|||||||||fem|||sing|||||||||g||p|v
maumis|maumettre|MITTERE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
maumis|maumettre|MITTERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
mauz|mal1|MALUS||noun||||||nom|||masc|||sing|||||||||g||p|v
mau|mal1|MALUS||noun||||||acc|||masc|||sing|||||||||g||p|v
mau|mal1|MALUS||noun||||||nom|||masc|||sing|||||||||g||p|v
ma|mon1|MEUS||determiner||||||||poss|fem|||sing|||||||||g||p|v
medea|Medée|||noun|||||||||fem|||sing|||||||||g||p|v
meillors|meillor|MELIOR||adjective|Noun|||||nom|cmp||masc|||plur|||||||||g||p|v
meillor|meillor|MELIOR||adjective|Noun|||||acc|||masc|||sing|||||||||g||p|v
meillor|meillor|MELIOR||adjective||||||acc|cmp||masc|||plur|||||||||g||p|v
meillor|meillor|MELIOR||adjective|||||||cmp||fem|||sing|||||||||g||p|v
meillor|meillor|MELIOR||adjective|Noun|||||nom|cmp||neut|||sing|||||||||g||p|v
meillor|meillor|MELIOR||adjective|Noun|||||acc|cmp||neut|||sing|||||||||g||p|v
menasa|menacier|MINACIA||verb||||||||||||sing|||3||intr|past|ind||g||p|v
menast|mener|MINARE||verb||||||||||imp||sing|||3||trans||fin|act|g||p|v
mena|mener|MINARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
menees|mener|MINARE||verb|||||||||fem|part||sing||||||past|ind||g||p|v
menees|mener|MINARE||verb||||||||||imp||plur|||2||trans|pres|fin|act|g||p|v
menee|mener|MINARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
menee|mener|MINARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
menelaus|Ménélas|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
menelaux|Ménélas|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
menelax|Ménélas|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
menelax|Ménélas|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
menerent|mener|MINARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
menerve|Minerve|||propernoun|||||||||fem|||sing|||||||||g||p|v
mener|mener|MINARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
menoient|mener|MINARE||verb||||||||||imp||plur|||3||trans||ind|act|g||p|v
menoit|mener|MINARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
menor|menor|MINOR||adjective||||||nom|cmp||masc|||sing|||||||||g||p|v
mensonges|mençogne|MENTIO||noun|||||||||fem|||plur|||||||||g||p|v
mensonge|mençogne|MENTIO||noun|||||||||fem|||sing|||||||||g||p|v
mentiroit|mentir|MENTIRI||verb||||||||||cnd||sing|||3||intr|pres|fin||g||p|v
mentir|mentir|MENTIRI||verb||||||||||inf|||||||intr|pres|ind||g||p|v
menti|mentir|MENTIRI||verb||||||||||||sing|||3||intr|past|ind||g||p|v
menuement|menuement|MINUTUS||adverb||||man|||||||||||||||||g||p|v
menue|menu|MINUTUS||adjective|||||||||fem|||sing|||||||||g||p|v
menéz|mener|MINARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
merchant|marchëant|MERCATUS||noun||||||acc|||masc|||plur|||||||||g||p|v
mercia|mercïer|MERCES||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
mercier|mercïer|MERCES||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
mercis|merci|MERCES||noun|||||||||fem|||sing|||||||||g||p|v
merci|merci|MERCES||noun|||||||||fem|||sing|||||||||g||p|v
merci|mercïer|MERCES||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
mercur|Mercure|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
mere|mere|MATER||noun|||||||||fem|||sing|||||||||g||p|v
mersia|mercïer|MERCES||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
mertia|mercïer|MERCES||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
merveilles|merveille|MIRABILIA||noun|||||||||fem|||plur|||||||||g||p|v
mervoilles|merveille|MIRABILIA||noun|Adv||||||||fem|||plur|||||||||g||p|v
mervoilles|merveille|MIRABILIA||noun|||||||||fem|||plur|||||||||g||p|v
mervoilleusement|merveillosement|MIRABILIA||adverb||||man|||||||||||||||||g||p|v
mervoilleuses|merveillos|MIRABILIA||adjective|||||||||fem|||plur|||||||||g||p|v
mervoilleuse|merveillos|MIRABILIA||adjective|||||||||fem|||sing|||||||||g||p|v
mervoilleus|merveillos|MIRABILIA||adjective||||||acc|||masc|||sing|||||||||g||p|v
mervoilleus|merveillos|MIRABILIA||adjective||||||acc|||masc|||plur|||||||||g||p|v
mervoilleus|merveillos|MIRABILIA||adjective||||||nom|||masc|||sing|||||||||g||p|v
mervoille|merveille|MIRABILIA||noun|Adv||||||||fem|||sing|||||||||g||p|v
mervoille|merveillier|MIRABILIA||verb||||||||||||sing|||3|||pres|ind|rfl|g||p|v
mervoille|merveille|MIRABILIA||noun|||||||||fem|||sing|||||||||g||p|v
mervoil|merveillier|MIRABILIA||verb||||||||||||sing|||1|||pres|ind|rfl|g||p|v
mer|mer|MARE||noun|||||||||fem|||sing|||||||||g||p|v
mesajer|messagier|MITTERE||noun||||||nom|||masc|||sing|||||||||g||p|v
mesaje|message2|MITTERE||noun||||||acc|||masc|||sing|||||||||g||p|v
mesaje|message2|MITTERE||noun||||||nom|||masc|||sing|||||||||g||p|v
mesavenir|mesavenir|ADVENIRE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
mesaverroit|mesavenir|ADVENIRE||verb||||||||||cnd||sing|||3||intr|pres|fin||g||p|v
mesavint|mesavenir|ADVENIRE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
mesires|X|X||other|||||||||||||||||||||g||p|v
meslee|meslee|MISCULARE||noun|||||||||fem|||sing|||||||||g||p|v
meslé|mesler|MISCULARE||verb|||||||||masc|part||sing||||||past|ind||g||p|v
messaje|message2|MITTERE||noun||||||acc|||masc|||sing|||||||||g||p|v
messaje|message2|MITTERE||noun||||||nom|||masc|||sing|||||||||g||p|v
mestier|mestier|MINISTERIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
mestier|mestier|MINISTERIUM||noun||||||nom|||masc|||sing|||||||||g||p|v
mesure|mesure|MENSURA||noun|||||||||fem|||sing|||||||||g||p|v
mes|mon1|MEUS||determiner||||||||poss|fem|||plur|||||||||g||p|v
mes|mon1|MEUS||determiner||||||acc||poss|masc|||plur|||||||||g||p|v
mes|mon1|MEUS||determiner||||||nom||poss|masc|||plur|||||||||g||p|v
mes|mais1|MAGIS2||coordinating conjunction|||||||||||||||||||||g||p|v
metes|metre2|MITTERE||verb||||||||||imp||sing|||2||trans|pres|fin|act|g||p|v
mete|metre2|MITTERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
metoit|metre2|MITTERE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
metra|metre2|MITTERE||verb||||||||||||sing|||3||trans|fut|ind|act|g||p|v
metre|metre2|MITTERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
metrons|metre2|MITTERE||verb||||||||||||plur|||1|||fut|ind|rfl|g||p|v
met|metre2|MITTERE||verb||||||||||imp||sing|||2|||pres|fin|rfl|g||p|v
metés|metre2|MITTERE||verb||||||||||imp||plur|||2||trans|pres|fin|act|g||p|v
me|mon1|MEUS||determiner||||||||poss|fem|||plur|||||||||g||p|v
me|mais1|MAGIS2||coordinating conjunction|||||||||||||||||||||g||p|v
me|moi|ME||pronoun||||||acc||||||sing|||1|prs|||||g||p|v
meïsmement|mëismement|IPSE||adverb|||||||||||||||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||acc||ind|masc|||sing|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||acc||ind|neut|||sing|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||||ind|fem|||sing|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||nom||ind|masc|||plur|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||acc||ind|masc|||plur|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||||ind|fem|||plur|||||||||g||p|v
meïsmes|mëisme|IPSE||determiner||||||nom||ind|masc|||sing|||||||||g||p|v
meïssent|metre2|MITTERE||verb||||||||||imp||plur|||3||||fin|rfl|g||p|v
meü|movoir|MOVERE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
miaudre|meillor|MELIOR||adjective|||||||cmp||fem|||sing|||||||||g||p|v
miels|mieus|MELIOR||adverb|Noun||||||cmp||||||||||||||g||p|v
miels|mieus|MELIOR||adverb|||||||cmp||||||||||||||g||p|v
mien|mien|MEUS||determiner||||||acc||poss|masc|||sing|||||||||g||p|v
