FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
cersoit|cerchier|CIRCARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
de_denz|dedans|DEINTUS||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
armaire|armaire|ARMARIUM||NOUN||Masc,Sing,Acc
por|por2|PRO||ADP||
trover|trover|*TROPARE||VERB||Ind,Inf,Pres,Act,Trans
un|un|UNUS||DET||ArtIndef,Masc,Sing
sien|suen|SUUS||DET||Poss,Masc,Sing,Acc
livre|livre2|LIBER2||NOUN||Masc,Sing,Acc
.||||||
ensi|ainsi|SIC||ADV||
chersant|cerchier|CIRCARE||VERB||Ind,Ger,Pres,Act,Trans
vint|venir|VENIRE||VERB||Fin,Ind,Past,Intr,3,Sing
as|a3|AD||ADP||PrepArt
es|le|ILLE||DET||ArtDef,Fem,Plur
mains|main2|MANUS||NOUN||Fem,Plur
l’|le|ILLE||DET||ArtDef,Fem,Sing
estoire|estoire1|HISTORIA||NOUN||Fem,Sing
qe|queque|QUID||PRON||Rel,Acc
daire|Daires|||PROPN||Masc,Sing,Nom
escrist|escrire|SCRIBERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
en|en1|IN||ADP||
lengue|langue1|LINGUA||NOUN||Fem,Sing
gresois|gregois|GRAECUS||ADJ||Fem,Sing
à|a3|AD||ADP||
celui|cel|ILLE||DET||Dem,Masc,Sing,Acc
tenz|tens|TEMPS1||NOUN||Masc,Sing,Acc
qe|queque|QUID||SCONJ||
li|le|ILLE||DET||ArtDef,Masc,Sing
siegue|siege|SEDICARE||NOUN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
à|a3|AD||ADP||
troie|Troie|||PROPN||Fem,Sing
.||||||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
daire|Daires|||PROPN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
troienz|troyen|TROJANUS||ADJ||Masc,Sing,Nom
.||||||
si|si|SIC||ADV||
estoit|estre1|ESSE||VERB||Fin,Ind,Imp,Intr,3,Sing
adonc|adonc|DUNC||ADV||
dedenz|dedans|DEINTUS||ADP||
la|le|ILLE||DET||ArtDef,Fem,Sing
cité|cité|CIVITAS||NOUN||Fem,Sing
qi|qui|QUI||PRON||Rel,Nom
veoit|vëoir|VIDERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
et|et|ET||CCONJ||
