qe|qe2|queque|QUID||DET||Int|g,p,v
qe|qe3|queque|QUID||SCONJ|||g,p,v
qi|qi|qui|QUI||PRON||Rel,Nom|g,p,v
qoi|qoi|coi2|QUID||PRON||Rel,Acc|g,p,v
quant|quant|cant1|QUANDO||SCONJ|||g,p,v
q’|q’|queque|QUID||PRON||Rel,Acc|g,p,v
raconte|raconte|raconter|COMPUTARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing|g,p,v
raison|raison|raison|RATIO||NOUN||Fem,Sing|g,p,v
ramenceüs|ramenceüs|ramentevoir|MENTE HABERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
receüs|receüs|recevoir|RECIPERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
remenbrance|remenbrance|remembrance|REMEMORARI||NOUN||Fem,Sing|g,p,v
retraire|retraire|retraire|RETRAHERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
retrova|retrova|retrover|*TROPARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
riche|riche|riche|RîKI||ADJ||Fem,Sing|g,p,v
rienz|rienz|rien|RES||PRON||Ind,Neut,Sing,Acc|g,p,v
romanz|romanz|romanz|ROMANICE||NOUN||Masc,Sing,Acc|g,p,v
rome|rome|Rome|||PROPN||Fem,Sing|g,p,v
saje|saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom|g,p,v
saje|saje1|sage|SAPIDUS||ADJ||Masc,Sing,Acc|g,p,v
sajes|sajes|sage|SAPIDUS||ADJ||Masc,Plur,Acc|g,p,v
salemon|salemon|Salomon|||PROPN||Masc,Sing,Nom|g,p,v
saluste|saluste|Saluste|||PROPN||Masc,Sing,Nom|g,p,v
savoir|savoir|savoir|SAPERE||VERB|Noun|Ind,Inf,Pres|g,p,v
savoit|savoit|savoir|SAPERE||VERB|auxMod|Fin,Ind,Imp,3,Sing|g,p,v
savroient|savroient|savoir|SAPERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur|g,p,v
scoile|scoile|escole1|SCHOLA||NOUN||Fem,Sing|g,p,v
se|se|soi|SE||PRON||Prs,3,Sing,Acc|g,p,v
se|se1|soi|SE||PRON||Prs,3,Plur,Acc|g,p,v
selonc_ce_qe|selonc_ce_qe|selonc|SECUNDUS||ADP|SConj |MWEs|g,p,v
sen|sen|sens|SENSUS||NOUN||Masc,Sing,Acc|g,p,v
senz|senz|sens|SENSUS||NOUN||Masc,Sing,Nom|g,p,v
senz|senz1|sens|SENSUS||NOUN||Masc,Sing,Acc|g,p,v
sept|sept|set|SEPTEM||NUM||Card|g,p,v
seroit|seroit|estre1|ESSE||VERB|auxPass|Fin,Cnd,Pres,3,Sing,MWEs|g,p,v
seroit|seroit1|estre1|ESSE||VERB|auxCop|Fin,Cnd,Pres,3,Sing|g,p,v
seront|seront|estre1|ESSE||VERB|auxPass|Fin,Ind,Fut,3,Plur,MWEs|g,p,v
sez|sez|suen|SUUS||DET||Poss,Masc,Plur,Acc|g,p,v
seü|seü|savoir|SAPERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
seüe|seüe|savoir|SAPERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
si|si|si|SIC||ADV|||g,p,v
siege|siege|siege|SEDICARE||NOUN||Masc,Sing,Acc|g,p,v
siegue|siegue|siege|SEDICARE||NOUN||Masc,Sing,Nom|g,p,v
sien|sien|suen|SUUS||DET||Poss,Masc,Sing,Acc|g,p,v
son|son|suen|SUUS||DET||Poss,Masc,Sing,Nom|g,p,v
son|son1|suen|SUUS||DET||Poss,Masc,Sing,Acc|g,p,v
stoire|stoire|estoire1|HISTORIA||NOUN||Fem,Sing|g,p,v
tenoit|tenoit|tenir1|TENERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
tenz|tenz|tens|TEMPS1||NOUN||Masc,Sing,Acc|g,p,v
teü|teü|taire|TACERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
tornee|tornee|tonrner|TORNARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
